Date,HomeTeam,AwayTeam,HomeAverageAge,AwayAverageAge,HomeAverageValue,AwayAverageValue
11/04/2009,Liverpool,Blackburn,25,28,17409090,2690909
11/04/2009,Middlesbrough,Hull,24,28,4445454,2672727
11/04/2009,Portsmouth,West Brom,29,25,6236363,3104545
11/04/2009,Stoke,Newcastle,28,27,3181818,4954545
11/04/2009,Sunderland,Man United,26,27,3681818,16227272
11/04/2009,Tottenham,West Ham,25,27,14272727,1909090
11/04/2009,Wigan,Arsenal,26,22,381818,7227272
12/04/2009,Aston Villa,Everton,27,26,11345454,9227272
12/04/2009,Man City,Fulham,24,28,8449999,3700000
18/04/2009,Aston Villa,West Ham,28,27,10709090,1909090
18/04/2009,Middlesbrough,Fulham,24,28,4445454,3700000
18/04/2009,Portsmouth,Bolton,28,27,6495454,2936363
18/04/2009,Stoke,Blackburn,28,28,3181818,4527272
18/04/2009,Sunderland,Hull,26,27,3681818,3118181
19/04/2009,Man City,West Brom,25,25,13081818,3104545
19/04/2009,Tottenham,Newcastle,24,27,14090909,4863636
21/04/2009,Liverpool,Arsenal,26,23,17409090,7272727
22/04/2009,Chelsea,Everton,28,27,26272727,7563636
22/04/2009,Man United,Portsmouth,28,29,17090909,5777272
25/04/2009,Bolton,Aston Villa,27,27,3218181,10527272
25/04/2009,Everton,Man City,27,24,8154545,13427272
25/04/2009,Fulham,Stoke,28,27,3272727,2527272
25/04/2009,Hull,Liverpool,28,25,2690909,16772727
25/04/2009,Man United,Tottenham,26,25,26200000,14909090
25/04/2009,West Brom,Sunderland,25,26,2949999,3509090
25/04/2009,West Ham,Chelsea,27,26,2118181,16727272
26/04/2009,Arsenal,Middlesbrough,24,24,7590909,3827272
26/04/2009,Blackburn,Wigan,29,25,4454545,381818
27/04/2009,Newcastle,Portsmouth,28,29,5136363,5777272
2/05/2009,Chelsea,Fulham,27,29,23500000,3454545
2/05/2009,Man City,Blackburn,24,29,13427272,4454545
2/05/2009,Middlesbrough,Man United,24,26,3963636,14181818
2/05/2009,Portsmouth,Arsenal,30,22,5522727,8000000
2/05/2009,Stoke,West Ham,27,27,2781818,1727272
2/05/2009,Tottenham,West Brom,25,25,14818181,3136363
2/05/2009,Wigan,Bolton,26,27,381818,3218181
3/05/2009,Liverpool,Newcastle,27,28,17863636,4300000
3/05/2009,Sunderland,Everton,25,26,4000000,8363636
4/05/2009,Aston Villa,Hull,27,28,11345454,2990909
9/05/2009,Blackburn,Portsmouth,29,29,4663636,6004545
9/05/2009,Bolton,Sunderland,27,25,3218181,4254545
9/05/2009,Everton,Tottenham,25,25,8772727,15727272
9/05/2009,Fulham,Aston Villa,29,27,3454545,11345454
9/05/2009,Hull,Stoke,28,28,2527272,2763636
9/05/2009,West Brom,Wigan,26,26,2031818,0
9/05/2009,West Ham,Liverpool,27,26,1727272,18863636
10/05/2009,Arsenal,Chelsea,23,27,7045454,23500000
10/05/2009,Man United,Man City,26,24,18927272,13427272
11/05/2009,Newcastle,Middlesbrough,28,24,5181818,3854545
13/05/2009,Wigan,Man United,26,27,0,23363636
16/05/2009,Bolton,Hull,27,28,3436363,2790909
16/05/2009,Everton,West Ham,27,27,9500000,1863636
16/05/2009,Man United,Arsenal,27,23,18727272,8954545
16/05/2009,Middlesbrough,Aston Villa,24,27,3881818,11481818
16/05/2009,Newcastle,Fulham,27,29,5209090,3454545
16/05/2009,Stoke,Wigan,28,27,2763636,0
16/05/2009,Tottenham,Man City,25,25,15272727,11154545
17/05/2009,Chelsea,Blackburn,27,28,23500000,4109090
17/05/2009,West Brom,Liverpool,26,25,2045454,18590909
18/05/2009,Portsmouth,Sunderland,29,25,5195454,4254545
24/05/2009,Arsenal,Stoke,23,27,8254545,2213636
24/05/2009,Aston Villa,Newcastle,26,27,11236363,4954545
24/05/2009,Blackburn,West Brom,29,27,4363636,2227272
24/05/2009,Fulham,Everton,29,27,3454545,8818181
24/05/2009,Hull,Man United,28,23,2645454,4800000
24/05/2009,Liverpool,Tottenham,26,25,21863636,15000000
24/05/2009,Man City,Bolton,24,27,12290909,3436363
24/05/2009,Sunderland,Chelsea,25,27,4254545,19500000
24/05/2009,West Ham,Middlesbrough,26,24,2272727,2972727
24/05/2009,Wigan,Portsmouth,26,27,0,5522727
15/08/2009,Aston Villa,Wigan,27,27,8954545,227272
15/08/2009,Blackburn,Man City,27,27,5545454,13363636
15/08/2009,Bolton,Sunderland,28,25,4454545,6818181
