Team,Visiting,Stadium,_featureID,TotalRoadJourney
Tottenham,Chelsea,White Hart Lane,34,36.3536940952707
Portsmouth,Southampton,Fratton Park,26,62.3605259991003
Newcastle,Stoke,St. James' Park,24,527.89914761695
Norwich,Fulham,Carrow Road,25,372.49541920391
Bournemouth,Everton,Dean Court (Vitality Stadium),7,718.353880358223
Watford,Wigan,Vicarage Road,35,573.246110489006
Leeds,Blackpool,Elland Road,18,228.139822270645
Reading,Huddersfield,Madejski Stadium,28,581.313382089216
Man United,Man City,Old Trafford,22,15.0467546254386
Brighton,Burnley,Falmer Stadium (The Amex),9,820.846468410777
Reading,Burnley,Madejski Stadium,28,623.970537005645
Sunderland,Reading,Stadium of Light,32,869.750187701653
Birmingham,Middlesbrough,St Andrew's (stadium),3,534.652014711129
Blackpool,Everton,Bloomfield Road,5,136.810294605815
Crystal Palace,Brentford,Selhurst Park,13,41.0954741150345
Birmingham,Reading,St Andrew's (stadium),3,288.996188063936
Bournemouth,Chelsea,Dean Court (Vitality Stadium),7,315.128573323103
Sheffield United,Man United,Bramall Lane,29,128.236398742565
Blackpool,Swansea,Bloomfield Road,5,643.789761368659
Newcastle,Brighton,St. James' Park,24,1040.14593514515
